Valence,Arousal,FNO,FPS,X-axis
-0.26854,0.04508,542,20,27.1
-0.25859,0.05845,543,20,27.15
-0.24647,0.05598,544,20,27.2
-0.25409,0.06349,545,20,27.25
-0.23386,0.06213,546,20,27.3
-0.22566,0.06074,547,20,27.35
-0.22392,0.0593,548,20,27.4
-0.21765,0.05196,549,20,27.45
-0.2236,0.07222,550,20,27.5
-0.23716,0.07728,551,20,27.55
-0.23778,0.07564,552,20,27.6
-0.24392,0.07094,553,20,27.65
-0.24499,0.06348,554,20,27.7
-0.2398,0.05663,555,20,27.75
-0.24541,0.07066,556,20,27.8
-0.25533,0.08385,557,20,27.85
-0.25345,0.08917,558,20,27.9
-0.25126,0.07653,559,20,27.95
-0.2534,0.08509,560,20,28.0
-0.24265,0.07977,561,20,28.05
-0.24094,0.06667,562,20,28.1
-0.25519,0.09763,563,20,28.15
-0.24941,0.08856,564,20,28.2
-0.25819,0.08857,565,20,28.25
-0.25456,0.07366,566,20,28.3
-0.23978,0.06828,567,20,28.35
-0.24575,0.07739,568,20,28.4
-0.26422,0.07724,569,20,28.45
-0.26967,0.07568,570,20,28.5
-0.26507,0.07377,571,20,28.55
-0.27264,0.11028,572,20,28.6
-0.26239,0.1132,573,20,28.65
-0.26177,0.12009,574,20,28.7
-0.23745,0.11322,575,20,28.75
-0.25455,0.11079,576,20,28.8
-0.25642,0.10953,577,20,28.85
-0.25832,0.11049,578,20,28.9
-0.2588,0.1224,579,20,28.95
-0.25725,0.11271,580,20,29.0
-0.27223,0.1198,581,20,29.05
-0.27707,0.12588,582,20,29.1
-0.28315,0.13981,583,20,29.15
-0.27518,0.12214,584,20,29.2
-0.28164,0.10377,585,20,29.25
-0.28212,0.1096,586,20,29.3
-0.26186,0.05485,587,20,29.35
-0.25424,0.0295,588,20,29.4
-0.27252,0.05959,589,20,29.45
-0.2726,0.05712,590,20,29.5
-0.26677,0.06065,591,20,29.55
-0.2719,0.07797,592,20,29.6
-0.26018,0.07621,593,20,29.65
-0.2543,0.06488,594,20,29.7
-0.24781,0.04984,595,20,29.75
-0.24522,0.04688,596,20,29.8
-0.24162,0.04244,597,20,29.85
-0.26126,0.06126,598,20,29.9
-0.24392,0.05527,599,20,29.95
-0.24563,0.05323,600,20,30.0
-0.26592,0.08611,601,20,30.05
-0.25818,0.09975,602,20,30.1
-0.26449,0.10719,603,20,30.15
-0.2187,0.05316,604,20,30.2
-0.21506,0.05703,605,20,30.25
-0.2365,0.05747,606,20,30.3
-0.23055,0.056,607,20,30.35
-0.25163,0.07949,608,20,30.4
-0.26376,0.07809,609,20,30.45
-0.26514,0.09466,610,20,30.5
-0.25367,0.08017,611,20,30.55
-0.2545,0.07046,612,20,30.6
-0.2486,0.06201,613,20,30.65
-0.26435,0.08334,614,20,30.7
-0.26258,0.07745,615,20,30.75
-0.26864,0.06967,616,20,30.8
-0.25426,0.08058,617,20,30.85
-0.26187,0.09017,618,20,30.9
-0.26222,0.06705,619,20,30.95
-0.25431,0.05828,620,20,31.0
-0.25166,0.06459,621,20,31.05
-0.25514,0.07301,622,20,31.1
-0.25923,0.05738,623,20,31.15
-0.25765,0.04938,624,20,31.2
-0.26106,0.05013,625,20,31.25
-0.25714,0.05276,626,20,31.3
-0.26043,0.04674,627,20,31.35
-0.24805,0.04013,628,20,31.4
-0.25224,0.03597,629,20,31.45
-0.25035,0.03886,630,20,31.5
-0.25674,0.04348,631,20,31.55
-0.25087,0.03005,632,20,31.6
-0.25534,0.02397,633,20,31.65
-0.25319,0.02667,634,20,31.7
-0.24368,0.04046,635,20,31.75
-0.25068,0.03725,636,20,31.8
-0.259,0.0435,637,20,31.85
-0.2575,0.05733,638,20,31.9
-0.22112,0.04818,639,20,31.95
-0.21715,0.04718,640,20,32.0
-0.26177,0.07173,641,20,32.05
-0.24822,0.06213,642,20,32.1
-0.24129,0.05277,643,20,32.15
-0.273,0.06874,644,20,32.2
-0.26627,0.08237,645,20,32.25
-0.25821,0.07225,646,20,32.3
-0.25051,0.07332,647,20,32.35
-0.24751,0.06593,648,20,32.4
-0.2441,0.07247,649,20,32.45
-0.24453,0.07003,650,20,32.5
-0.24661,0.06203,651,20,32.55
-0.22873,0.04791,652,20,32.6
-0.23404,0.04612,653,20,32.65
-0.24165,0.04819,654,20,32.7
-0.23559,0.04459,655,20,32.75
-0.24484,0.05289,656,20,32.8
-0.2369,0.05141,657,20,32.85
-0.23987,0.04518,658,20,32.9
-0.23616,0.04917,659,20,32.95
-0.24172,0.04798,660,20,33.0
-0.26185,0.01697,661,20,33.05
-0.25566,0.02171,662,20,33.1
-0.23737,0.0395,663,20,33.15
-0.22079,0.0428,664,20,33.2
-0.23941,0.04781,665,20,33.25
-0.23099,0.06076,666,20,33.3
-0.23604,0.04828,667,20,33.35
-0.23789,0.03281,668,20,33.4
-0.22871,0.05788,669,20,33.45
-0.26041,0.02128,670,20,33.5
-0.23641,0.04731,671,20,33.55
-0.246,0.07603,672,20,33.6
-0.2287,0.06681,673,20,33.65
-0.24464,0.061,674,20,33.7
-0.2315,0.06128,675,20,33.75
-0.22175,0.05816,676,20,33.8
-0.22673,0.05897,677,20,33.85
-0.23494,0.06069,678,20,33.9
-0.23858,0.05979,679,20,33.95
-0.22334,0.04494,680,20,34.0
-0.21646,0.03534,681,20,34.05
-0.23089,0.04114,682,20,34.1
-0.2266,0.04364,683,20,34.15
-0.236,0.04747,684,20,34.2
-0.23209,0.05078,685,20,34.25
-0.225,0.03227,686,20,34.3
-0.21601,0.05456,687,20,34.35
-0.21786,0.05406,688,20,34.4
-0.21622,0.02751,689,20,34.45
-0.21238,0.03014,690,20,34.5
-0.22352,0.03624,691,20,34.55
-0.21621,0.03516,692,20,34.6
-0.22049,0.02756,693,20,34.65
-0.22433,0.02678,694,20,34.7
-0.22856,0.01879,695,20,34.75
-0.23273,0.02305,696,20,34.8
-0.23605,0.03177,697,20,34.85
-0.23616,0.01579,698,20,34.9
-0.23114,0.01911,699,20,34.95
-0.24017,0.03843,700,20,35.0
-0.23241,0.05288,701,20,35.05
-0.24364,0.06647,702,20,35.1
-0.2445,0.06613,703,20,35.15
-0.24405,0.10512,704,20,35.2
-0.24137,0.03496,705,20,35.25
-0.24341,0.09459,706,20,35.3
-0.24239,0.0494,707,20,35.35
-0.2287,0.05811,708,20,35.4
-0.2409,0.05589,709,20,35.45
-0.24489,0.05665,710,20,35.5
-0.25414,0.06772,711,20,35.55
-0.25144,0.05894,712,20,35.6
-0.24355,0.01987,713,20,35.65
-0.24977,0.02926,714,20,35.7
-0.241,0.07102,715,20,35.75
-0.23878,0.04031,716,20,35.8
-0.24808,0.05494,717,20,35.85
-0.25559,0.0487,718,20,35.9
-0.25967,0.06505,719,20,35.95
-0.26376,0.07261,720,20,36.0
-0.25316,0.06755,721,20,36.05
-0.25015,0.05713,722,20,36.1
-0.24716,0.04769,723,20,36.15
-0.24902,0.04631,724,20,36.2
-0.25118,0.05602,725,20,36.25
-0.22973,0.04667,726,20,36.3
-0.2256,0.04346,727,20,36.35
-0.22617,0.04367,728,20,36.4
-0.23992,0.06374,729,20,36.45
-0.23484,0.05908,730,20,36.5
-0.23848,0.04019,731,20,36.55
-0.24547,0.05938,732,20,36.6
